reviewId,userName,content,score
c73aa403-3930-4de5-92c6-c32319bb5229,Keana Fitzgerald,This app is amazing. My 13 year old was up so dangerous activity an lucky with this app I am able to keep my kids safe! Also when u put your child on punishment u can lock everything with the app,5
a5178e42-b614-4b7e-a4b4-42a1260c43e3,Kirti Gopal das,Hare Krishna good app,5
316ded22-c4f4-4e97-b0ed-e63b00d1590a,Babaki Pari,Safe all things to u personal work mom,5
349b87c8-c356-4b5f-af3c-7caa901b715a,Darío Pinto,Pretty good for windows and android and very good reports if you get the very reasonable paid version. Cons. It is not available for Chromebook:-(,4
3479118b-34dc-46fe-96df-c02e197c1107,Snowwolfboi,Wish there were a feature to detect inappropriate pictures on childrens picture gallery,4
6fecf133-c87f-4ec2-9199-28aeb057cb15,James P.,Really easy for kids to disable.,1
4085c1e3-4dbb-47ca-af5b-61e6979eb382,NaingYe Thu,Block/unblock often stuck and not working as expected. I bought 1 year but even want refund after a few times of frustrating stuck My kid use ipad,1
3220089a-6c7b-4aa3-b5c7-9b468512f67e,r m,Works for me,5
0e046cd0-3f56-4021-882d-346f8931fca8,Mou Den,Good app,5
e8993aac-fc7f-412a-a6bd-1b5f20447464,Dr. WN Sisto,"This does not work consistently. Currently it says my child's device is blocked, but his phone is not blocked. Contacting a human being for customer support is impossible. This was a waste of money. If you have an android, use the free android parental controls.",1
517cfc5f-b11e-4187-82fa-fb0942ee826a,Tamunoibi Walter,Very good.,5
b34f2bad-e23d-4a35-81d2-64c0cd8d9ebc,Michal Szczech,"Intuitive, does what it it is designed to do pretty well",5
dfbe7adc-ae28-43dc-86c9-17fce721472a,M Houshmand,Best application for monitor child's.,5
185950ab-a999-49a6-9a01-7407499e6448,Kuba Kępski,The app sucks,1
da41665f-8bd2-4268-a595-9dcecadaa710,Ashok Rana,My subscription is not activated,1
416d6db3-a6f7-45ca-aa22-c25199d6dd3a,Yuno Otsuka,This app is great 👍👍,1
9c80eeb9-32a5-4aa8-b8fc-4ec8e00f2bc9,Rahn Vert,The App Is Great (on paper). It refuses to load quit often on every Samsung device I own.,1
67b86b2e-6480-4e98-b555-d60b95b767fe,Sam Fish,"Impossible to uninstall from my kids device. I need to upgrade my kids device and in order to do that I wanted to wife the device clean, I was unable do so (yes I'm the parent, and I logged in through the parent user name and password, I even tried to take aways some of the permissions, didn't help)",1
86217bcf-b552-44ea-b6df-32425f34e915,Ba1atu,"Hard to configure, not for the average user! Screen time doesnt work. Child can access certain apps even after the time limit.",1
d7830fb5-7385-4e9c-b180-a7437891045c,Steve Dabin,"So difficult to set up Android to iOS. Can't set or change time limits, doesn't accept requests for extra time, basically completely unusable and a waste of money.",1
47f64ccc-62ae-459e-ab31-a03c649213b2,Richard DOUTI-LARE,"The application is easy to use. There are some missing features (ie rename monitored areas instead of the gps location, chat between parents and kids).great app",4
ba77af63-d727-4279-9f92-2ec0469d1e1e,Mehdi Gargari,"After the update, It is not working anymore! Not reflecting the changes on the account! Mobile: Galaxy S22 Ultra",2
6b38f21e-40e0-4584-974e-f1e3c358b57f,Anton Ignatov,It's not an application for the phone as far as the full features are available only on a portal with full browser access. Notifications are useless because they do not tell which link or app the kids open. There is not a simple button - block the laptop. It's a useless info notificator rather then parent management tool. Sorry.,1
829a1712-7e06-4f0a-a51f-f168b6411bae,Xisr Rein,Developer options are not blocked even though the app is using Knox. Fix that please and maybe consider making it more battery efficient by removing the pop ups for security even when Samsung Knox blocks it anyways.,1
7446c79a-d4cc-499b-bb1c-285338ac51a5,Willem Barnard,would be great if the app had a block button to immediately stop any activity,4
7a4a3528-7ae7-4a89-a099-d324b114e0da,Rickner Montilla,Great App!,5
d18610cd-7f26-4c38-860a-78b4676710f6,Ahmet Soyen,"I have Android, my kids' iPhone, so couldnt succeeded to control over application. How can i solve it ? If not, how I can take my money back ? Thanks...",1
727aaa5e-a732-4026-b136-6314a25474b1,Anish Mathew,"Helps to control kid's device usage; but sync of settings to kids computers sometimes do not work; also, addition of time based control of internet restrictions would have been nice;",4
4c015d7d-093f-4e84-82a2-5fce2dbc1022,Steve Tutt,Great for parents of teenagers,5
44db3b19-8bbb-459d-8fac-05bdeccee408,Anton Zhuchkov,"Очень слабый сырой продукт. Бедный функционал и нестабильная работа. Нет даже банальной настройки лимитов времени для отдельных приложений. Нет возможности создать 2му родителю отдельный админ.аккаунт --> нет истории изменения настроек каждым из родителей. Слабые отчёты и метрики. Очень часто в приложении перестаёт отображаться статус и отчёты с ПК на Вин10, лечится ребутом ОС. Лимиты времени работают некорректно! Даже многие бесплатные подобные ПО в выигрыше.Поддержка игнонрит.Не рекомендую.",1
7dcaa99b-f685-468f-8bb7-c0b2271800f1,Margarethe Coelho,"The idea of the app is great, but the location does not work properly since middle of December. It sporadically list a location but does not update and then locations are days old. It also incorrectly indicates phone time, which is essential when you have a teenager, it often shows more time used than actually used.",1
ecb0fee2-eaa9-47e4-8c82-e0c06a0c4307,Deks Jal,"O hate parent control,but that's easy to hack)))",1
0ccde103-bd95-4fe8-9eda-13f0fa9da4b7,MC D R (Mrs Kaur),"Useless, location not accurate it always show my child is out of allowed area, which is completely wrong. Very expensive product to not work properly or accurate. 360 it's much better even family link works better than Kaspersky safekids.",1
04a450af-3826-4116-be64-5d5e8c1828f6,H i S,Does not block web sites and report history from Edge browser.,2
a1e2795f-1c83-4263-ac32-5cd918d093cc,Aaron Pate,Bad,1
00dc9e45-537b-49ad-9c3e-b05a6de30adb,Ishaan Garg,Worst App. Do not install this app. Parents forcefully install this app and then force restrictions on us. Have tried talking to then but no relaxation on restrictions,1
bddcebf4-8cf0-471b-a914-41d2db664a77,ᴠᴇʀᴛᴇx 69,Pls delete this app,1
7a534678-5090-4ffb-8d4f-f936b9b9c5a5,grant skinner,Helps me to ensure that my kids have a safe online experience. Easy to use and setup.,5
da1d6f75-4046-47c0-aeec-1b48883feae9,enslover24,"приложения, которые разрешены после окончания экранного времени запускаются оооочень тяжело. Часто совсем не запускаются, потому что safe kids просто не позволяет этого сделать",3
31a91970-79ff-417c-9e08-625fe9a9ce04,J Spencer,Greedy!! Price jumped from $15 to $22 to renew,2
e9fb1e9e-dfa7-40dd-a59c-c75bbb0fe07b,Aspen Foraker,"This was installed on my phone by someone who should not have access, and the app refuses in every way possible for me to delete it. This is going way too far. The restriction abilities of this app are disgustingly high.",1
383a1c4e-b910-4846-8dfc-51391e667958,Sharif Dilnewaz Hossain,Good,5
2eb184a1-b0bc-470b-aae4-f7f17f474ebd,Emmanuel Igbinosun,This is a valuable tool for every parent.,4
adf0c0f0-224f-4780-a481-4d5e634fd1a0,Vidyadhar Navale,"Unable to install on child's android. It'll go to the lock app in recents and then go no further. Had to cancel subscription, luckily was just a day away before starting subscription. Now I'm unable to sign in to my app (parent) on my android. Is there an issue with kaspersky and Android?",1
819ca1d2-584a-4389-8dd8-64a299c7eb43,Coffee The roster,I hate it im 17 and my parents use this to track me and its horrible im to broke to buy a new phone and i cant get them off my back with the child apps don't get this on your childs phone they will hate you and you are controling,1
aaef95f6-46a7-44ac-878a-8c6188b49233,Yogesh Rathi,The location of kids on the map needs to be improved,4
c5d9de48-0f4d-4f1f-93ba-792ade6e28c5,Mr.T Mr.T,"Good app,But,1- you don't get the notifications all the time. 2-i can't see youtube history. 3-i don't know why you have feature of block apps and still working !?. 4- when reaches < 15% battery, i get notification "" maybe k.safe can be deleted?!. 5-after battery stuff , the app can not even figure apps installed in the device! Because of that no blocking apps..5- while update in kids app if i didn't manage to accepted the kid use the apps without blocking any apps?!!( i purchase the app)",1
9d38c89a-e55d-4726-9d05-2bd88dd8e084,Dan Arnold,Tells me what I need to know,4
e71ddcc0-8113-45eb-a1f2-d9481b54c1b3,Nehir Kızılkaya,"I would give 0 stars if I could, I can't uninstall this even though I have a parent account. I can't take the apps admin privileges away either.",1
e29ac8c6-8df7-43ac-a2a4-7ba8122ae35d,Salty Lacie,Absolutely useless and now cant uninstall!!!,1
367f2140-d8f0-4b8e-9fe6-79e990e3f390,reza mosavi,I have not been able to block my daughter's phone for a week,5
3fd66691-c0bb-4254-9dd0-1a6de2efb973,jayesh gosavi,very bad. its not worth for 1 star rating also,1
0c2cdb7a-f2dc-4e5f-a8ba-a7104e0b6fb1,Дима Аверин,Ужас,1
6c7fce51-3750-4a06-89ab-382fabd38eeb,MD almas Sheikh,This app has private controller,1
850518ff-44e0-4aea-b97a-163c9f06111e,Ap And,Very nice,4
2935d38e-c1c5-41fc-8b7d-bf245bef22bd,Michael Ushmirsky,very nice,5
58bf144c-fb6d-4ab1-b487-fc7f53474c0a,SURESH KUMAR,It is really good. Solved every problem. Excellent software for parents at reasonable price.,5
7ff13109-1850-43f8-8494-f400490d8ccf,Matthew Pendleton,Give you great control over your know it all teen.,5
925eace2-6847-4275-b782-d4919e5a7336,Risdalon Terora,"Great apps, superb idea for kids",5
