reviewId,userName,content,score
609e1075-a310-4fd3-b0f5-804e424037fe,Mica club,Tried to install this app for my daughter. Was on her phone for a total of 20 minutes without crashing. I guess I'll just need to trust my kids lol.,1
30693394-ccb5-4086-b388-11c5134079df,Michael Grezeszak,This app worked great but this year they dropped the kids app for android an I really need that for my kids tablets guess it is time to find a new company and give them my money,1
092fbecc-5d75-4381-a4f9-75d5881534af,Ibrahim Jawad Syed,"what is this?? this app is a violation of privacy, nobody should be able to have such a large amount of control over their family",1
dd52eee4-7c2a-4848-a3e7-af1b2773d5e5,Never Hopefully,"I had it for over a year now and it gives me trouble now. wouldn't recommend it, special for $55.",2
c90b6d20-23ba-4c4c-8338-59f359838e06,RL McDaniel,Works OK. No way to run in my son's phone without disabling Snapchat.,3
4aaee169-c42e-4022-87bd-8bdbcf442f70,Ntsej Fam Yaj,"Doesn't work more than half the time. And this is a paid subscription service, too. They also make it difficult to cancel a subscription! I'm dumping this garbage.",1
3ae428b8-fd98-4472-a5fa-4c50f745d159,Kenzie Harrington,"The parent app isn't available on all androids, & it won't work on my sons phone. FAQ is out of date. Support page doesn't work. Support email blocked me immedately. I'll be calling for a refund first thing in the morning. I've never had such a negative experience before. I'm not technology dumb but this feels like a scam sir how popular it is.",1
cf0e55e3-98d9-4858-9460-4092b7ac82b1,TruthBeTold2020,"This app is a mess. Nothing works as intended. Internet refuses to work and protect functions behave as block functions. The apps that do work load very slowly due to the poorly designed content filter over VPN connection. This company has failed to produce a working product for what has been years now. Forget contacting their ""support"", as they give no real helpful suggestions and could care less if they resolve your issue or not.",1
73df289d-feb5-41cc-9788-a9e5c918c0c6,Justin (Personal),"Installation was complicated, including unexplained security settings (it uses VPN stub to monitor Internet traffic). Settings to control the app are quite detailed, but not well presented and hard to figure out, especially scheduling. UI is juvenile and unhelpful. Worst of all, it failed repeatedly to shut off the devices when it was supposed to and denied access when it wasn't supposed to. On a positive note, they responded promptly when I asked for a refund, a few days after I installed it.",1
d8f04003-9e1b-4aba-b836-f623579c1692,SANTOSH KUMAR PANIGRAHI,"Thanks for your Return policy. Today I got my money back. Thanks for understanding my problem and returning my amount. Really this company is not fraud whatever they display, they do it genuinely. Thanks Net Nanny.",5
1215dc7d-9af8-41b5-8a81-2f18fade2b9c,Merphran Irias,So far I'm giving this app 3 stars. It is not doing what it says it does on all the devices I've installed it in. I'm hoping the glitches will be cleared soon.,3
f29156ef-8e5c-4f18-802f-c0a6c50bfb4a,Valiant Farm LLC,"Not a bad app, but the interface for making changes to the schedule is horrible. That absolutely needs fixed.",3
11ac4c75-7eca-45fe-b6ad-6b3c2e7d6860,Kaarina Bodnar,Set up is easier than the other app I tried... Was able to see in real time what my kids was searching up in his phone and the apps he had installed,4
86d3bc95-0900-4faf-bbe3-b4aefd7907b0,Jace Lamphere,"So far the only thing that's working is the screen time monitoring. The app hasn't blocked any of the nsfw websites or content that I've looked up to test it, and it hasn't notified the parent device about the content. I will be uninstalling from my phone and computer. What a waste of 55 bucks.",1
1c6a416c-7a94-49b4-bd6c-cd54a9927f07,William Kabelac,"This app needs help! UI leave alot to be desired, notifications are not reliable and the linking to suspicious websites don't work. I have a year subscription but I don't see the value beyond the blocking of websites...which can be done by a lot more players for less $.",2
6b1cd17f-ae27-4487-b1f9-45b369759da2,Jeremiah Riggs,Rarely updates in real time. Ugh.,1
8659fb3d-08a7-41eb-836a-2223037d3b6e,Jeff S,Was a great filter but this app has not been updated in over a year. Seems like development has stopped and it no longer works well on Samsung devices.,1
00927415-3268-4e24-96a8-6aa7d77089f8,Jacqui B,"This app works real time, which allows me to disable or re-enable my sons pc on the spot. It gives me the peace of mind, knowing what apps he has installed and what sites he's visiting.",4
67a849cb-0873-441c-bc68-a5eed7e3edb9,Andres Molestina,"Still I'm the air. The child app on iphone has crashed a few times but while the app is crashed the phone has no internet access so that's good. UPDATE:. Garbage, uninstall and get your money back",1
