reviewId,userName,content,score
d7afd200-6b45-4780-878b-2a295e110985,Bakri Bin Sebi,Marvellous,5
69683939-b5ea-4f83-8824-e89c11a784d7,Kapil Kumar (K.K),nice,5
96ea71fb-9ffb-4d5d-affa-ad7babd2d585,Pak Poom,ดี ฝึกให้เด็กหัดควบคุมและแบ่งเวลาได้ดี,5
4a851e0d-8ada-42ef-bffb-618ac7cc58a6,Ombir Singh,nice or use full app,4
774974c3-4c77-471b-b827-af8478ee2127,Mohmed Emara,"Great, working as expected after update.",5
84f7a2b3-7fda-4fec-8e20-645c5e0806fd,Tshepo Moleko,It's an amazing app to have esp when coming to monitor what your child gets up to,4
8f6b8de8-86a1-4c78-9319-4631c793481c,Anne Philipsen,"I like that you can set different time limits on different apps. I would like an option to set ""phone free"" periods across the day.",4
baaa4525-c2a8-4790-b52a-3fdba3cbad40,Peter probir Hembrom,"Useful app,please add listen saround sound feature",5
1929e287-fc2a-44a5-a6ea-1542f5d6e83c,Nani Venkat,"Worst app from google.it doesn't have proper exist way from supervision mode,once we enter in supervision you can't come back you could face hell of problems it's 0/10. my account stranded inside this supervision mode, I can't able to access so i want to stop supervision which is not there even as an option.",1
027881fa-299f-4ca3-8606-65b6a67b9e90,Nayan Patidar,Show somtime wrong screen time this give me a type of trauma this app must me removed from play Store,3
d44f72a2-2fe6-4886-8da1-e49417b9e9d6,Shinde Kaur,"Great app, let's me keep an eye on what apps my kids are using and for how long. I can also restrict apps, set time limits. Love that I can vary restrictions so as they get older give them more access. Highly recommend this app.",5
30ade276-9653-4d88-8cc4-67f65d82a210,Katerina Vastis,Works well on one child's device and terribly on the other child's device. Her downtime and app time limits cancel themselves. She has zero restrictions unless I completely block an app.,1
66feb004-3f47-4163-b8be-b7851090b830,Brandi Bowers,I love having the option to restrict or open my child's tablet and other devices.,5
6937380f-8462-42f1-8824-afccd987a96b,Edward Mulder,I'm a kid who wants 2 hours of phone time,1
cbf2bcc4-d97a-4620-bdc9-a2f6a9bdf097,Heather D,Pointless to have it for children unless they are under 13. So I will be uninstalling.,1
4e7fc782-edc0-46f8-96f9-68bc0fe30d84,Diana S.,Muy útil para control se aplicacioen8y tiempo de los niños en el dispositivo.,4
0afa40d3-1e48-4f3a-9f2a-6f83d97b6233,Beth Mayer,"At first this app seemed like it was perfect. BUT, there was no option for the phone and text part to stay active once the phone went into its night mode. So, if my child needed to contact me, they could not.",1
18ce8705-4147-455b-96b0-67666e5c47c8,Tiffany Shamel (AnInquiringMind),So helpful and LOVE that there are no annoying ads!,5
926305c9-7df7-46b4-98db-efa134c040f2,Ma Kh,I don't love this app bec the children cant play any time they want this app don't make children play any time this app has many problems that should be fixed first none of the app after bed time unlock again so I have to resetting the phone 2 times to make the app open again Second spending time in home screen takes time in screen limit! Third It always count the time wrong fourth when I call my friend and time is unit close the call this make me lose my friend some time fuc.k you 0 stars,1
1cf6ed95-22dd-4a34-b79d-0af86fd846b5,Youmna Nabil,I hate it it doesn't make me do anything,1
59a0010b-b7d7-4831-a33d-ea89ba006709,aijaz khan,Very useful and best... Link,5
4f145cf1-279b-4ffc-bda9-e6a66e326862,Luis Hess,The worst app from Google... Lately Google is getting worse and worse... Need to rethink a lot of things...,1
88c2b75d-1ed3-456a-aeea-5386aba9c529,Eben Fiorentino,always disconnects,1
fcb3ed3b-ff86-4038-aecf-30cdf43fa71d,Ram ShiLakar,I have been using this Google parental control application for a couple of years. Very good and easy application for controlling your family members mobile devices.,5
c6db3c17-79e6-4f0e-a601-35e3a32c3892,Barry V.,"While its useful for keeping an eye on your children's activities, it no longer has any means for removing controls over children who are old enough to manage their own devices. Google provides instructions to do so through the app, but the app doesn't have the option mentioned in the directions. Only option is to create a new account for my teenager, losing his existing games and apps.",2
00a41af0-4b9a-448b-a6c8-d1b6c2c54047,laura belton,Constantly asking for a school account to use YouTube. Don't have a school account. Eventually had to delete child and remove family link altogether,1
64f80dcd-bc7a-4f11-a4a7-feacc20f2471,Melissa,"I can't give a reviw with 0 stars so this gets a 1. From a child, this app is so stupid. It invades a child's privacy and also, it's not my fault I'm on my phone all the time, it's the parents fault for not spending enough time with their child. So , google, you should make a ""how to parent"" app. This is a bunch a bs.",1
5aaaf482-beca-468c-b403-b9c8abcd29bf,Brian Elliott,"Utter rubbish, kid can easily bypass the downtime or manual lock",1
6d8862d4-e66f-4409-8600-5e0e57171967,Bruno Njubi,very much impressive,1
cb7e64d5-6b35-4569-870a-863be4668b79,HRISHABH DEV,calling status should be know,3
2f74c8a7-0be9-41b4-924e-4ca577dd346a,Bianca Gabriela Radulescu,"Horrible,ruined my life",1
8fcb0b45-df0e-4ff2-a3c6-dcb90b5fa078,Emilie Vestuto,"Love how easy it is to use. Wish it covered even more devices, like our shield! Recommend it highly. Has been a little slow to respond recently, otherwise 5 stars",4
ae6501ce-861f-4719-a610-ecf4344a91ad,Rinku Yadav,nice,5
ecd23ec5-a2a6-41aa-a080-8c7e2a111902,Kenisha Bell,💜💜,5
587431bd-8e47-4b79-8cd3-b226e33498d2,Heba Hammad,kids can hack it,3
20beb2d3-725e-4bc5-ae6f-8a5063f1955f,Suresh Akhade,Best for family,5
1ceb7bb8-3a03-4f76-b9d0-f713abc2e3f9,Ismail alam,good,5
a647bf5d-0a70-41a1-abf2-e48978eed9d0,Atta M,awsome app,5
4cc2a80c-bf50-4ec4-a13c-dad90a7959e2,Yogesh Kumar,nice app,5
2770ed07-2821-445e-be4a-44f3eb84d753,zura diasamidze,"This is not gooooooood.i dont like it.booooo,booooo",1
c64148c2-dfcd-413e-ade5-a019a13849c7,Sanaulla Syed,Good evening everyone,5
83c056df-bf29-41f5-b410-81b9117c6ee4,shahid haidery,بہت اچھی,5
a00b1ac1-eabc-4aae-b1c0-d0e381301533,Ali Badar,ok,5
