reviewId,userName,content,score
316ded22-c4f4-4e97-b0ed-e63b00d1590a,Babaki Pari,Safe all things to u personal work mom,5
349b87c8-c356-4b5f-af3c-7caa901b715a,Darío Pinto,Pretty good for windows and android and very good reports if you get the very reasonable paid version. Cons. It is not available for Chromebook:-(,4
3479118b-34dc-46fe-96df-c02e197c1107,Snowwolfboi,Wish there were a feature to detect inappropriate pictures on childrens picture gallery,4
6fecf133-c87f-4ec2-9199-28aeb057cb15,James P.,Really easy for kids to disable.,1
4085c1e3-4dbb-47ca-af5b-61e6979eb382,NaingYe Thu,Block/unblock often stuck and not working as expected. I bought 1 year but even want refund after a few times of frustrating stuck My kid use ipad,1
3220089a-6c7b-4aa3-b5c7-9b468512f67e,r m,Works for me,5
0e046cd0-3f56-4021-882d-346f8931fca8,Mou Den,Good app,5
e8993aac-fc7f-412a-a6bd-1b5f20447464,Dr. WN Sisto,"This does not work consistently. Currently it says my child's device is blocked, but his phone is not blocked. Contacting a human being for customer support is impossible. This was a waste of money. If you have an android, use the free android parental controls.",1
517cfc5f-b11e-4187-82fa-fb0942ee826a,Tamunoibi Walter,Very good.,5
b34f2bad-e23d-4a35-81d2-64c0cd8d9ebc,Michal Szczech,"Intuitive, does what it it is designed to do pretty well",5
dfbe7adc-ae28-43dc-86c9-17fce721472a,M Houshmand,Best application for monitor child's.,5
185950ab-a999-49a6-9a01-7407499e6448,Kuba Kępski,The app sucks,1
da41665f-8bd2-4268-a595-9dcecadaa710,Ashok Rana,My subscription is not activated,1
416d6db3-a6f7-45ca-aa22-c25199d6dd3a,Yuno Otsuka,This app is great 👍👍,1
9c80eeb9-32a5-4aa8-b8fc-4ec8e00f2bc9,Rahn Vert,The App Is Great (on paper). It refuses to load quit often on every Samsung device I own.,1
67b86b2e-6480-4e98-b555-d60b95b767fe,Sam Fish,"Impossible to uninstall from my kids device. I need to upgrade my kids device and in order to do that I wanted to wife the device clean, I was unable do so (yes I'm the parent, and I logged in through the parent user name and password, I even tried to take aways some of the permissions, didn't help)",1
