reviewId,userName,content,score
30693394-ccb5-4086-b388-11c5134079df,Michael Grezeszak,This app worked great but this year they dropped the kids app for android an I really need that for my kids tablets guess it is time to find a new company and give them my money,1
092fbecc-5d75-4381-a4f9-75d5881534af,Ibrahim Jawad Syed,"what is this?? this app is a violation of privacy, nobody should be able to have such a large amount of control over their family",1
dd52eee4-7c2a-4848-a3e7-af1b2773d5e5,Never Hopefully,"I had it for over a year now and it gives me trouble now. wouldn't recommend it, special for $55.",2
c90b6d20-23ba-4c4c-8338-59f359838e06,RL McDaniel,Works OK. No way to run in my son's phone without disabling Snapchat.,3
4aaee169-c42e-4022-87bd-8bdbcf442f70,Ntsej Fam Yaj,"Doesn't work more than half the time. And this is a paid subscription service, too. They also make it difficult to cancel a subscription! I'm dumping this garbage.",1
3ae428b8-fd98-4472-a5fa-4c50f745d159,Kenzie Harrington,"The parent app isn't available on all androids, & it won't work on my sons phone. FAQ is out of date. Support page doesn't work. Support email blocked me immedately. I'll be calling for a refund first thing in the morning. I've never had such a negative experience before. I'm not technology dumb but this feels like a scam sir how popular it is.",1
cf0e55e3-98d9-4858-9460-4092b7ac82b1,TruthBeTold2020,"This app is a mess. Nothing works as intended. Internet refuses to work and protect functions behave as block functions. The apps that do work load very slowly due to the poorly designed content filter over VPN connection. This company has failed to produce a working product for what has been years now. Forget contacting their ""support"", as they give no real helpful suggestions and could care less if they resolve your issue or not.",1
73df289d-feb5-41cc-9788-a9e5c918c0c6,Justin (Personal),"Installation was complicated, including unexplained security settings (it uses VPN stub to monitor Internet traffic). Settings to control the app are quite detailed, but not well presented and hard to figure out, especially scheduling. UI is juvenile and unhelpful. Worst of all, it failed repeatedly to shut off the devices when it was supposed to and denied access when it wasn't supposed to. On a positive note, they responded promptly when I asked for a refund, a few days after I installed it.",1
d8f04003-9e1b-4aba-b836-f623579c1692,SANTOSH KUMAR PANIGRAHI,"Thanks for your Return policy. Today I got my money back. Thanks for understanding my problem and returning my amount. Really this company is not fraud whatever they display, they do it genuinely. Thanks Net Nanny.",5
1215dc7d-9af8-41b5-8a81-2f18fade2b9c,Merphran Irias,So far I'm giving this app 3 stars. It is not doing what it says it does on all the devices I've installed it in. I'm hoping the glitches will be cleared soon.,3
f29156ef-8e5c-4f18-802f-c0a6c50bfb4a,Valiant Farm LLC,"Not a bad app, but the interface for making changes to the schedule is horrible. That absolutely needs fixed.",3
11ac4c75-7eca-45fe-b6ad-6b3c2e7d6860,Kaarina Bodnar,Set up is easier than the other app I tried... Was able to see in real time what my kids was searching up in his phone and the apps he had installed,4
86d3bc95-0900-4faf-bbe3-b4aefd7907b0,Jace Lamphere,"So far the only thing that's working is the screen time monitoring. The app hasn't blocked any of the nsfw websites or content that I've looked up to test it, and it hasn't notified the parent device about the content. I will be uninstalling from my phone and computer. What a waste of 55 bucks.",1
1c6a416c-7a94-49b4-bd6c-cd54a9927f07,William Kabelac,"This app needs help! UI leave alot to be desired, notifications are not reliable and the linking to suspicious websites don't work. I have a year subscription but I don't see the value beyond the blocking of websites...which can be done by a lot more players for less $.",2
6b1cd17f-ae27-4487-b1f9-45b369759da2,Jeremiah Riggs,Rarely updates in real time. Ugh.,1
8659fb3d-08a7-41eb-836a-2223037d3b6e,Jeff S,Was a great filter but this app has not been updated in over a year. Seems like development has stopped and it no longer works well on Samsung devices.,1
00927415-3268-4e24-96a8-6aa7d77089f8,Jacqui B,"This app works real time, which allows me to disable or re-enable my sons pc on the spot. It gives me the peace of mind, knowing what apps he has installed and what sites he's visiting.",4
67a849cb-0873-441c-bc68-a5eed7e3edb9,Andres Molestina,"Still I'm the air. The child app on iphone has crashed a few times but while the app is crashed the phone has no internet access so that's good. UPDATE:. Garbage, uninstall and get your money back",1
e2d206c6-ef7b-4e8f-8f97-63b9aca52b68,Jeffrey Tamburo,"I so wanted Net Nanny to work, but it's an epic fail with my kids iPhones. I know ios is notoriously difficult to lock down, but the app description made it seem to be the answer. With the iPhone, Net Nanny regularly and continuously stops connecting with my kids' iPhones. All the kids have to do is swipe the app away. Unbelievably ineffective and $54 down the drain.",1
308aa0dd-f2eb-40da-9f23-e1c46f237dea,Deli Rumbos,Not working....,1
1f42c441-abca-415b-8c9e-30672cd161c6,Ted Pan,"'screen time' is misrepresented, you cannot lock the ipad, you can only disable internet. Offline games or apps are still working, you cannot control the screen time. Windows client does not work. Message still works even disable internet.. What a useless app.",1
69f85f56-fffb-4d76-8b1c-8a43df1dcca6,Wanda Bunn,"This app is pretty much useless. I set limits and the next thing I know they have changed on their own. I'm talking about within seconds and my phone hasn't even left my hand so I know it's not my kids doing it. Plus, when you enter websites that you want blocked, it doesn't work. To top it all off, the internet doesn't stop when time is up unless my kids close all open windows which is NOT going to happen b/c they have figured out that if they leave the tabs open they can get back on any time.",1
666554b1-460a-4231-b63e-2b2791d10788,John Meyer (AF4JM),"if I limit my kid to x hours per day, he can use those hours any time of day or night... if I say he can only be online between 9am-8pm then he can be online the whole time... to be useful I need to have both working together, if you pay even $1 per year for this service you're getting ripped off",1
6b40395e-271f-44d9-b8c4-5417484bae7c,Allen Starr,"The screen allocation times between the current APP and the child app are not consistent. Time runs out faster than what is actually used. Then the child cannot even connect to the internet. Support told me that I had to reinstall and do everything again, not a lot of help.",1
d58454e1-c172-46ca-bd0d-5557df7d2995,Mitzie Salvador,Peace of mind for parents can be found on this app in a world full of rubbish. Every parent should have this. Highly recommended.,5
af3d45ea-1f92-4057-9ba6-062140608a72,Wendy Ellison,This is a highly recommended app so thought I'd try it and even paid for the subscription right away... Big mistake. In 5 days I've had to uninstall and reinstall my son's app 4x because it continually crashes and does not work. I contacted customer service and this was the only solution offered. Thankfully still within the free trial phase so will be getting a refund.,1
6d869a87-47b6-4c3a-8553-9662052e6552,Rebekah Hurst,It has been a great help to me and my husband with our 4 teenage boys.,5
af27c1a6-4427-4e93-8dfc-bd8233bf1bdb,inky kirksey,Don't waist time downloading and paying for app it hasn't had a update I'm over a year says alot about the app and of they been listening to users. It bearly works on Android devices constantly let's things slip through but they will fasho take the money out no problem highly dissatisfied with service.,1
85177cfc-57ea-450e-b79a-27cc89174882,Beth Montes,Hardly ever works. Don't waste your money.,1
b0fc1030-bf9e-4946-b212-86b1dcde5927,Arash Kamdoust,Trash app.,1
e9f4f3e2-82ea-4a88-9941-d53f7db8ae9a,Stuart Hume,Awful and does not work. The issue is that the child device is out of contact and gives no control at all. I have used another app which is amazing and cheaper.,1
b9b9c1ea-66fb-451a-8e53-3825fb4c04fa,Sharla Stenersen,It's been great for both my 12 and 13 year old. Easy to use and I trust the app.,5
f3dadbda-d51a-4a75-982f-ff7d8f295146,Sandra Druhl,"Net Nanny is very frustrating. I have kept for years because I don't know of something better. It actually works good on computers and laptops but especially on IOS phones, it works terribly. I constantly have problems and can never find appropriate directions to fix any of my problems. Now either I can spend my day trying to figure this out on my own by trial and error, or let my child's phone go unprotected all weekend because Net Nanny support is unavailable on the weekend.",2
99cc7ddf-0077-4731-b0be-39285ab6cb2a,Adel B,"Always issues with location, loses the connection on child's devices, that i have to turn it on everyday on child's mobile to keep track, doesn't update the search quickly and misses a lot of information, doesn't update youtube video history for months. Have to switch to another parental control app.",2
06f6dcc4-ec95-4f8c-8167-f8092600e99e,Rob Kloeker,Could not even set up my kids phone with the app. Sorry but if I can not easily set things up initially you can forget it.,1
